S#0: Height: 0.9 in, Roll: -47 deg, Pose: (16.0 in, 4.9 in), Angle: 72 deg
S#1: Height: 0.4 in, Roll: 0 deg, Pose: (14.8 in, 6.5 in), Angle: 16 deg
S#2: Height: 0.9 in, Roll: 0 deg, Pose: (14.3 in, 8.5 in), Angle: 15 deg
S#3: Height: 2.6 in, Roll: 0 deg, Pose: (13.7 in, 10.4 in), Angle: 15 deg
S#4: Height: 4.2 in, Roll: 1 deg, Pose: (13.2 in, 12.4 in), Angle: 15 deg
S#5: Height: 5.9 in, Roll: 1 deg, Pose: (12.7 in, 14.3 in), Angle: 15 deg
S#6: Height: 7.4 in, Roll: 1 deg, Pose: (12.2 in, 16.2 in), Angle: 15 deg
S#7: Height: 9.1 in, Roll: 2 deg, Pose: (11.6 in, 18.2 in), Angle: 15 deg
S#8: Height: 10.7 in, Roll: 2 deg, Pose: (11.1 in, 20.1 in), Angle: 15 deg
S#9: Height: 11.9 in, Roll: 2 deg, Pose: (10.6 in, 22.0 in), Angle: 16 deg
S#10: Height: 5.3 in, Roll: 14 deg, Pose: (10.2 in, 23.7 in), Angle: 14 deg
S#11: Height: 2.4 in, Roll: -0 deg, Pose: (9.6 in, 25.7 in), Angle: 19 deg
S#12: Height: 1.6 in, Roll: -0 deg, Pose: (8.9 in, 27.7 in), Angle: 19 deg
S#13: Height: 1.4 in, Roll: 7 deg, Pose: (8.3 in, 29.6 in), Angle: 16 deg
S#14: Height: 1.7 in, Roll: 9 deg, Pose: (7.7 in, 31.5 in), Angle: 18 deg
S#15: Height: 2.4 in, Roll: -5 deg, Pose: (7.1 in, 33.5 in), Angle: 18 deg
S#16: Height: 3.6 in, Roll: -19 deg, Pose: (6.5 in, 35.4 in), Angle: 16 deg
S#17: Height: 5.7 in, Roll: 21 deg, Pose: (6.1 in, 37.4 in), Angle: 7 deg
S#18: Height: 8.5 in, Roll: 127 deg, Pose: (5.8 in, 39.2 in), Angle: 26 deg
S#19: Height: 9.6 in, Roll: -147 deg, Pose: (4.7 in, 41.0 in), Angle: 21 deg
S#20: Height: 9.3 in, Roll: -99 deg, Pose: (4.2 in, 42.9 in), Angle: 8 deg
S#21: Height: 8.4 in, Roll: -78 deg, Pose: (4.1 in, 44.9 in), Angle: -8 deg
S#22: Height: 6.7 in, Roll: -65 deg, Pose: (5.0 in, 46.8 in), Angle: -53 deg
S#23: Height: 4.9 in, Roll: -54 deg, Pose: (7.0 in, 47.3 in), Angle: -97 deg
S#24: Height: 3.5 in, Roll: -49 deg, Pose: (8.9 in, 46.6 in), Angle: -122 deg
S#25: Height: 2.7 in, Roll: -51 deg, Pose: (10.4 in, 45.2 in), Angle: -141 deg
S#26: Height: 2.1 in, Roll: -53 deg, Pose: (11.5 in, 43.5 in), Angle: -157 deg
S#27: Height: 1.5 in, Roll: -42 deg, Pose: (12.0 in, 41.5 in), Angle: -176 deg
S#28: Height: 1.2 in, Roll: -20 deg, Pose: (11.8 in, 39.6 in), Angle: 167 deg
S#29: Height: 1.5 in, Roll: -7 deg, Pose: (11.1 in, 37.7 in), Angle: 157 deg
S#30: Height: 2.3 in, Roll: -0 deg, Pose: (10.3 in, 35.8 in), Angle: 158 deg
S#31: Height: 3.5 in, Roll: -0 deg, Pose: (9.5 in, 34.0 in), Angle: 158 deg
S#32: Height: 4.4 in, Roll: -0 deg, Pose: (8.8 in, 32.1 in), Angle: 158 deg
S#33: Height: 4.6 in, Roll: -0 deg, Pose: (8.0 in, 30.3 in), Angle: 158 deg
S#34: Height: 4.4 in, Roll: 0 deg, Pose: (7.3 in, 28.5 in), Angle: 158 deg
S#35: Height: 3.5 in, Roll: 0 deg, Pose: (6.5 in, 26.7 in), Angle: 158 deg
S#36: Height: 2.0 in, Roll: 6 deg, Pose: (5.7 in, 24.8 in), Angle: 157 deg
S#37: Height: 0.9 in, Roll: 12 deg, Pose: (5.0 in, 22.9 in), Angle: 165 deg
S#38: Height: 0.7 in, Roll: 5 deg, Pose: (4.7 in, 20.8 in), Angle: 173 deg
S#39: Height: 1.2 in, Roll: -13 deg, Pose: (4.5 in, 18.9 in), Angle: 173 deg
S#40: Height: 2.0 in, Roll: -15 deg, Pose: (4.2 in, 16.9 in), Angle: 171 deg
S#41: Height: 2.5 in, Roll: 16 deg, Pose: (3.8 in, 14.9 in), Angle: 172 deg
S#42: Height: 2.9 in, Roll: 50 deg, Pose: (3.6 in, 12.9 in), Angle: -180 deg
S#43: Height: 3.5 in, Roll: 66 deg, Pose: (3.8 in, 11.0 in), Angle: -163 deg
S#44: Height: 4.5 in, Roll: 82 deg, Pose: (5.0 in, 9.3 in), Angle: -120 deg
S#45: Height: 5.4 in, Roll: 95 deg, Pose: (7.0 in, 9.2 in), Angle: -73 deg
S#46: Height: 5.6 in, Roll: 101 deg, Pose: (8.9 in, 9.6 in), Angle: -85 deg
S#47: Height: 5.3 in, Roll: 111 deg, Pose: (11.0 in, 10.0 in), Angle: -65 deg
S#48: Height: 3.9 in, Roll: 78 deg, Pose: (12.4 in, 11.4 in), Angle: -20 deg
S#49: Height: 2.3 in, Roll: 31 deg, Pose: (12.4 in, 13.4 in), Angle: 14 deg
S#50: Height: 1.5 in, Roll: 9 deg, Pose: (11.6 in, 15.3 in), Angle: 22 deg
S#51: Height: 1.3 in, Roll: 5 deg, Pose: (10.9 in, 17.2 in), Angle: 22 deg
S#52: Height: 1.7 in, Roll: -2 deg, Pose: (10.1 in, 19.1 in), Angle: 23 deg
S#53: Height: 2.8 in, Roll: 10 deg, Pose: (9.5 in, 20.9 in), Angle: 11 deg
S#54: Height: 5.0 in, Roll: 163 deg, Pose: (8.8 in, 22.7 in), Angle: 35 deg
S#55: Height: 6.2 in, Roll: -179 deg, Pose: (7.8 in, 24.5 in), Angle: 28 deg
